sku,category,name,unit,unit_price_ex_gst,currency,source_files,source_pages,status,review_reason
A-522-1,Chairs,A-522-1 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 66*66*36 1piece per carton 16KG,ea,651.26,AUD,chairs.pdf,28,OK,
A-548,Chairs,A-548 all meshblack frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 66*66*36 1piece per carton,ea,771.5,AUD,chairs.pdf,28,OK,
A-561,Chairs,A-561 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 70*50*65 1piece per carton 19.7KG,ea,1634.19,AUD,chairs.pdf,28,OK,
A-562,Chairs,A-562 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 70*50*65 1piece per carton 17.7KG,ea,1122.18,AUD,chairs.pdf,28,OK,
A-567,Chairs,A-567 black frameblack mesh High-quality mesh fabric + high-density foam + PP + metal 66*66*36 1piece per carton 22KG,ea,1428.88,AUD,chairs.pdf,28,OK,
A04,Chairs,A04 PU leather High-quality PU leather + high-density sponge+ wooden frame + metal legs 85*60*62 1 piece per carton 21.5kg,ea,1010.94,AUD,chairs.pdf,14,OK,
A047,Chairs,A047 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black 86*32*65 1 piece per carton 0.18m³/piece 16kg,ea,651.26,AUD,chairs.pdf,10,OK,
A10,Chairs,A10 black frame High-quality mesh fabric + high-density foam + PP + metal 74*55*63 2piece per carton,ea,521.01,AUD,chairs.pdf,25,OK,
A1905,Chairs,A1905 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey coffee 92*65*26 1 piece per carton 0.16m³/piece 21kg,ea,651.26,AUD,chairs.pdf,10,OK,
A1910,Chairs,A1910 PU leather High-quality PU leather + high-density sponge+ Wooden Inner Frame + metal legs black grey Earthy yellow 123*65*65 2 pieces per carton 0.26m³/piece 23.5kg,ea,751.46,AUD,chairs.pdf,9,OK,
A1911,Chairs,A1911 PU leather metal leg High-quality PU leather + high-density sponge+Doll Sponge+ Wooden Inner Frame + metal legs coffee+Off- white coffee+ grey 95*76*40 1 piece per carton 0.29m³1piece 26kg,ea,1220.33,AUD,chairs.pdf,8,OK,
